nId	szQuestion	nAnswerId	szA1	szA2	szA3
1	一只猫的身上有三种颜色，那它更可能是公猫还是母猫？	1	母猫	公猫	双性别猫
2	徽县位于哪个省？	2	安徽	甘肃	河北
3	人在打喷嚏的时候不能做什么事情？	3	握拳	踢腿	睁眼睛
4	下列哪个定理是数学定理？	2	希特勒定理	拿破仑定理	华盛顿定理
5	每年杀死人类最多的动物是什么？	3	狼	狗	蚊子
6	猎豹属于以下哪种动物？	2	豹	猫	虎
7	牵牛花一般在一天的什么时候开放？	1	上午	下午	晚上
8	下列哪个属于数论四大定理？	3	墨子定理	祖冲之定理	孙子定理
9	下面什么东西吃起来有人血的味道？	2	骆驼血	玻璃碴	斑马血
10	如果狗狗很开心，那它的尾巴会怎么摇？	1	向左	向右	向下
11	章鱼的血是什么颜色的？	1	蓝色	红色	无色
12	涮火锅用的黄喉是哪个部位？	3	食管	气管	血管
13	榴莲一般什么时候从树上掉落？	3	上午	下午	晚上
14	一个玉米棒上的玉米行数是奇数还是偶数？	2	奇数	偶数	都有
15	河南县位于哪个省？	3	河南	山东	青海
16	大象的怀孕期有多久？	1	两年	三年	五年
17	中国领土最南端在哪？	3	曾母礁丘	八仙暗沙	立地暗沙
18	狗不能吃什么东西？	1	巧克力	奶酪	夏威夷果
19	以下哪种动物不能咳嗽？	2	犀牛	长颈鹿	大象
20	陆游诗作现存约多少首？	1	九千	八千	七千
21	下列哪个不属于二十八星宿？	2	女土蝠	室月兔	轸水蚓
22	大熊猫给熊猫幼崽舔肚子是为什么？	1	帮助排便	保持湿润	促进血液循环
23	下列哪个学科属于代数学？	3	计算数论	级数论	李群
24	元素周期表跟以下哪个朝代关系最为密切？	2	元	明	清
25	老版西游记共多少集？	3	23	24	25
26	地球上牙齿最多的动物是什么？	2	鲨鱼	蜗牛	马陆
27	从中国到芬兰最少需要经过几个国家的领土？	1	1	5	3
28	人伸出舌头的时候可以快速呼吸吗？	2	能 	不能	有时能有时不能
29	一张纸对折多少次后的厚度相当于我们现在可观测宇宙范围的直径？	2	75	103	231
30	超级马里奥是用什么顶的砖块？	3	头	肩膀	手
31	北极熊是左撇子还是右撇子？	1	左撇子	右撇子	因熊而异
32	下列哪种动物的视野最大？	3	人	马	山羊
33	澳洲袋熊的便便是什么形状的？	2	球形	方形	锥形
34	以下哪种动物的头部转动角度最大？	1	猫头鹰	白头鹰	海东青
35	人体中哪个部位最坚硬？	3	颅骨	指甲	牙齿
36	阿拉伯数字是什么人发明的？	2	阿拉伯人	印度人	玛雅人
37	熊猫的尾巴是什么颜色的？	1	白色	黑色	因熊而异
38	蝴蝶的味觉器官长在哪里？	3	触角上	翅膀上	脚上
39	小学课本上的寒号鸟是种什么动物？	3	鸟类	昆虫	鼠类
40	蚂蚁有几个胃？	2	1	2	3
41	世界上第一本用纸写的书是？	1	三国志	金刚经	楞伽经
42	天然气是什么味道的？	2	臭味	无味	酸味
43	黄金被熔化时产生的气体是什么颜色的	3	无色	金色	绿色
44	扑克牌中方块K代表哪个君王？	1	凯撒大帝	大卫王	亚历山大大帝
45	乘坐飞机最危险的过程是什么？	3	飞机起飞阶段	飞机降落阶段	前往机场阶段
46	骆驼毛刷是用什么毛造的？	2	骆驼毛	松鼠毛	羊驼毛
47	飞机上的黑匣子一般是什么颜色的？	3	黑色	白色	橙色
48	20元纸币上隐藏了下面哪个字样？	1	九九	九八	四九
