nId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
1	下列诗人不属于初唐四杰的是？	1	王维	杨炯	卢照邻	骆宾王
2	巴黎凯旋门是为了纪念谁而建？	2	丘吉尔	拿破仑	哥伦布	路易十四
3	文景之治发生在哪个朝代？	3	唐朝	宋朝	汉朝	明朝
4	我国最早的官方史书是？	1	尚书	史记	春秋	汉书
5	商鞅变法时当政的国君是谁？	2	秦惠文王	秦孝公	秦献公	秦始皇
6	下列哪位文学大家在乌台诗案中受害？	4	王安石	欧阳修	柳宗元	苏轼
7	2008年北京残奥会的吉祥物是？	1	福牛乐乐	康康	福娃欢欢	米莎
8	下列哪位将军在杯酒释兵权中被收走了兵权？	2	高仙芝	石守信	封常清	哥舒翰
9	我国唯一注入北冰洋的河是？	1	额尔齐斯河	雅鲁藏布江	底格里斯河	塔里木河
10	“遗计定辽东”的是曹操的哪位谋士？	4	荀彧	荀攸	程昱	郭嘉
11	下列哪本著作不是高尔基的作品？	1	百年孤独	童年	在人间	我的大学
12	x射线不能射穿什么金属物质？	2	金	铅	铁	铜
13	成吉思汗的大儿子是谁？	1	术赤	窝阔台	察合台	拖雷
14	“国人暴动”中被驱逐的国君是？	2	周幽王	周厉王	周平王	周文王
15	“桂陵之战”中齐军主将是谁？	4	孙膑	邹忌	田单	田忌
16	“长平之战”中秦军主将是谁？	2	王翦	王贲	张仪	白起
17	秦国第一个称王的国君是谁？	1	秦惠文王	秦昭襄王	秦武王	秦庄襄王
18	“三家分晋”中不包括下面哪个国家？	3	韩	赵	燕	魏
19	下列诗人谁当过宰相？	1	李绅	王维	王昌龄	李贺
20	NBA哪支球队获得的总冠军最多？	2	湖人	凯尔特人	热火	骑士
21	世界上最狭长的国家是？	1	智利	阿根廷	挪威	瑞典
22	世界第二高峰是？	3	珠穆朗玛峰	马卡鲁峰	乔戈里峰	干城章嘉峰
23	北美洲与南美洲的分界线是哪个？	4	苏伊士运河	直布罗陀海峡	德雷克海峡	巴拿马运河
24	世界上第二小的国家是？	2	梵蒂冈	摩洛哥	瑙鲁	卢森堡
25	下列佛教名山中哪个是文殊菩萨道场？	1	山西五台山	浙江普陀山	安徽九华山	四川峨眉山
26	下列佛教名山中哪个是普贤菩萨道场？	4	山西五台山	浙江普陀山	安徽九华山	四川峨眉山
27	下列佛教名山中哪个是地藏菩萨道场？	3	山西五台山	浙江普陀山	安徽九华山	四川峨眉山
28	世界上最深的海沟位于？	2	印度洋	太平洋	北冰洋	大西洋
29	打开山海关引清军入关的是哪个明朝将领？	1	吴三桂	郑克爽	韦小宝	常遇春
30	一只羽毛球有多少根羽毛？	3	14	15	16	17
31	世界上最大的内陆国是？	4	吉尔吉斯斯坦	塔吉克斯坦	土耳其	哈萨克斯坦
32	第一个在奥运会上拿金牌的运动员是？	2	郎平	许海峰	王涛	刘国梁
33	下列哪个不属于元曲四大家？	1	汤显祖	关汉卿	马致远	白朴
34	下列哪个著名宫殿位于英国？	3	克里姆林宫	凡尔赛宫	白金汉宫	白宫
35	下列哪个著名宫殿位于俄国？	1	克里姆林宫	凡尔赛宫	白金汉宫	白宫
36	下列哪个著名宫殿位于法国？	2	克里姆林宫	凡尔赛宫	白金汉宫	白宫
37	泼水节是哪个民族的传统节日？	4	彝族	白族	土家族	傣族
38	太平天国东王是谁？	3	洪秀全	韦昌辉	杨秀清	萧朝贵
39	“官渡之战”中曹操拿到了谁叛逃带过来的情报？	2	审配	许攸	沮授	田丰
40	下列谁不属于“五子良将”？	1	满宠	张郃	徐晃	张辽
41	项羽将秦地分封给三个秦国降将，其中不包括？	4	章邯	董翳	司马欣	龙且
42	西藏何时接受中国政府管辖？	3	宋朝	明朝	元朝	清朝
43	“东岳”是指？	2	华山	泰山	衡山	嵩山
44	萨马兰奇是国际奥委会第几任主席？	1	7	8	9	10
45	17世纪侵占我台湾岛的国家是？	3	西班牙	葡萄牙	荷兰	英国
46	关羽一战水淹七军，威震华夏，生擒哪位魏国将领？	4	庞德	夏侯渊	曹仁	于禁
47	中国最早的纸币叫什么？	2	宝钞	交子	会子	金券
